,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
269,High Rock,75,BS,1559778397,66,26.63,-78.28,84.2,9.17
270,Rocha,99,UY,1559778261,83,-34.48,-54.34,56.93,12.17
271,Moyale,40,ET,1559778399,74,3.52,39.05,69.53,5.55
272,Hithadhoo,46,MV,1559778160,79,-0.6,73.08,83.93,12.5
273,Pordim,75,BG,1559778401,88,43.38,24.85,62.6,2.24
274,Vardo,1,US,1559778385,69,39.62,-77.74,75.99,6.93
275,Aljezur,0,PT,1559778403,79,37.31,-8.8,61.0,12.68
276,Hailey,20,US,1559778405,27,43.52,-114.32,75.2,3.36
277,Nemuro,33,JP,1559778406,85,43.32,145.57,48.47,8.1
278,Geraldton,40,CA,1559778407,32,49.72,-86.95,66.2,4.7
279,Sangar,32,RU,1559778408,51,63.92,127.47,68.81,9.93
280,Baykit,18,RU,1559778409,44,61.68,96.39,62.33,2.15
281,Dwarka,20,IN,1559778410,38,28.58,77.04,91.4,6.85
282,Bambanglipuro,67,ID,1559778172,85,-7.95,110.28,78.35,6.76
283,Carutapera,73,BR,1559778413,92,-1.2,-46.02,77.09,5.08
284,Kudahuvadhoo,98,MV,1559778414,79,2.67,72.89,83.75,15.64
285,Miri,85,NG,1559778415,61,10.31,9.75,81.05,10.92
286,Lamar,75,US,1559778255,64,38.09,-102.62,69.8,13.87
287,Boa Vista,75,BR,1559778306,78,2.82,-60.67,82.4,1.12
288,Pevek,0,RU,1559778419,82,69.7,170.27,33.71,3.83
289,Anloga,40,GH,1559778421,88,5.79,0.9,80.6,16.11
290,Newport,83,GB,1559778422,87,51.59,-3.0,53.01,8.05
291,Turbat,63,PK,1559778423,21,26.0,63.05,93.65,3.91
292,La Paz,5,MX,1559778425,42,24.15,-110.32,84.2,13.87
293,Yenagoa,99,NG,1559778426,96,4.92,6.26,74.93,3.24
294,Namtsy,0,RU,1559778427,59,62.72,129.66,66.2,8.95
295,Cockburn Town,0,TC,1559778347,79,21.46,-71.14,81.77,11.92
296,Woodward,1,US,1559778429,42,36.43,-99.39,87.01,5.82
297,Romny,35,UA,1559778431,90,50.74,33.49,59.09,8.19
298,Sobolevo,0,RU,1559778432,94,54.43,31.9,58.73,5.53
299,Kununurra,0,AU,1559778433,29,-15.77,128.74,60.8,12.75
300,Fare,2,PF,1559778434,79,-16.7,-151.02,81.23,17.43
301,Arcata,75,US,1559778435,87,40.87,-124.08,61.0,14.99
302,Seybaplaya,40,MX,1559778436,59,19.65,-90.67,93.2,11.41
303,Barabai,93,ID,1559778438,91,-2.59,115.38,78.17,0.4
304,Longyan,95,CN,1559778439,91,25.1,117.03,74.93,3.69
305,Karratha,0,AU,1559778440,24,-20.74,116.85,64.85,23.06
306,Kibala,20,TD,1559778441,74,9.11,18.35,80.6,8.68
307,Vanimo,100,PG,1559778442,71,-2.67,141.3,83.21,4.97
308,Ponta Delgada,20,PT,1559778443,82,37.73,-25.67,62.6,10.29
309,San Patricio,0,PY,1559778445,86,-26.98,-56.83,58.91,7.58
310,Todos Santos,5,MX,1559778446,57,23.45,-110.23,84.0,10.29
311,Lyskovo,16,RU,1559778447,82,56.03,45.04,55.49,7.2
312,Sistranda,0,NO,1559778448,72,63.73,8.83,59.0,6.93
313,Dongzhen,31,CN,1559778449,45,43.33,129.73,69.53,6.8
314,Borgarnes,0,IS,1559778450,56,64.54,-21.92,45.0,20.8
315,Guane,55,CU,1559778451,77,22.2,-84.09,83.93,9.98
316,Ambon,34,FR,1559778453,93,47.55,-2.56,55.99,2.24
317,Bima,73,ID,1559778454,85,-8.45,118.73,74.39,4.68
318,Santa Fe,17,AR,1559778247,81,-31.62,-60.7,64.99,5.01
319,Avarua,4,CK,1559778312,69,-21.21,-159.78,77.0,12.75
320,Katobu,38,ID,1559778457,84,-4.94,122.53,79.07,5.59
321,Farah,0,AF,1559778458,23,32.37,62.11,79.07,7.81
322,Byron Bay,100,AU,1559778459,67,-28.65,153.62,63.0,10.29
323,Honiara,20,SB,1559778461,79,-9.43,159.96,84.2,9.57
324,Honolulu,75,US,1559778462,62,21.3,-157.86,86.0,11.41
325,Flin Flon,75,CA,1559778463,42,54.77,-101.88,66.2,12.75
326,Maniitsoq,99,GL,1559778464,42,65.42,-52.9,51.53,5.61
327,Araouane,0,ML,1559778465,8,18.9,-3.53,92.75,5.86
328,Scottsbluff,1,US,1559778466,42,41.87,-103.67,82.4,10.29
329,Adwa,100,ET,1559778468,72,14.16,38.9,68.27,2.28
330,Batagay,0,RU,1559778469,38,67.65,134.64,57.29,7.4
331,Orissaare,0,EE,1559778470,68,58.56,23.08,66.2,6.93
332,Mach,0,PK,1559778471,27,29.87,67.33,63.95,5.5
333,Santiago del Estero,2,AR,1559778472,56,-27.8,-64.26,67.37,13.24
334,Aklavik,40,CA,1559778331,41,68.22,-135.01,60.8,6.93
335,Ruyigi,82,BI,1559778474,66,-3.47,30.25,61.43,3.09
336,Koping,3,SE,1559778475,72,59.51,15.99,64.99,4.7
337,Iranshahr,0,IR,1559778477,12,27.21,60.69,85.73,6.89
338,Norton,0,ZW,1559778478,49,-17.87,30.7,53.33,3.74
339,Cleethorpes,99,GB,1559778479,87,53.56,-0.03,55.4,4.32
340,Maracaibo,75,CO,1559778480,69,3.41,-75.78,78.8,12.75
341,Santona,75,ES,1559778482,76,43.44,-3.46,55.99,4.7
342,Gat,20,SN,1559778483,83,14.69,-16.54,71.6,8.05
343,Qiongshan,0,CN,1559778484,88,20.01,110.35,82.4,6.71
344,Mana,90,RS,1559778485,100,43.52,20.24,59.0,1.12
345,Dhemaji,12,IN,1559778486,75,27.48,94.56,79.25,2.3
346,Yatou,75,CM,1559778487,94,3.63,9.81,73.4,3.36
347,Saint-Paul,90,FR,1559778489,100,45.22,1.9,48.99,3.36
348,Kinlochleven,94,GB,1559778490,94,56.71,-4.97,48.99,3.0
349,Srednekolymsk,94,RU,1559778491,49,67.46,153.71,45.23,15.5
350,Champerico,90,MX,1559778492,65,16.38,-93.6,82.4,11.41
351,Ostrovnoy,0,RU,1559778493,83,68.05,39.51,38.75,4.36
352,Tanout,99,NE,1559778494,15,14.97,8.88,98.69,11.5
353,Tabou,85,CI,1559778496,87,4.42,-7.36,75.83,2.91
354,Gazli,26,UZ,1559778497,20,40.13,63.45,85.19,4.27
355,Rio Gallegos,0,AR,1559778498,71,-51.62,-69.22,39.2,6.93
356,Adrar,94,DZ,1559778499,11,27.87,-0.29,91.4,9.17
357,La Reforma,75,GT,1559778500,70,14.8,-91.82,86.0,6.93
358,Usinsk,78,RU,1559778502,64,66.0,57.56,48.83,6.26
359,La Rioja,92,AR,1559778503,86,-29.41,-66.86,52.25,1.79
360,Teruel,3,ES,1559778504,75,40.34,-1.11,62.6,5.82
361,Ilulissat,5,GL,1559778505,60,69.22,-51.1,42.8,4.7
362,Taytay,100,PH,1559778506,83,10.83,119.52,83.03,7.05
363,Port Hardy,75,CA,1559778507,59,50.7,-127.42,62.6,10.29
364,Cartagena,0,ES,1559778509,72,37.63,-1.0,71.01,4.7
365,Buritis,60,BR,1559778320,60,-15.62,-46.42,73.13,5.26
366,Mount Isa,91,AU,1559778511,37,-20.73,139.49,55.4,14.99
367,Marzuq,0,YE,1559778512,44,14.4,46.47,79.07,5.77
368,Lagos,40,NG,1559778340,88,6.46,3.39,80.6,3.36
369,Teya,40,MX,1559778514,39,21.05,-89.07,97.0,4.7
370,Manicore,79,BR,1559778515,69,-5.81,-61.3,80.51,2.3
371,Sao Joao da Barra,0,BR,1559778517,93,-21.64,-41.05,66.2,3.83
372,Cochrane,100,CL,1559778518,94,-47.25,-72.57,35.33,4.74
373,Niquero,5,CU,1559778519,69,20.04,-77.58,84.65,5.28
374,Ullapool,88,GB,1559778520,83,57.9,-5.16,48.99,1.01
375,Murliganj,77,IN,1559778521,74,25.9,86.99,82.67,13.33
376,Waingapu,81,ID,1559778522,76,-9.65,120.26,75.29,15.77
377,Mian Channun,0,PK,1559778260,17,30.44,72.35,90.77,4.85
378,Hualmay,53,PE,1559778524,88,-11.1,-77.61,62.69,15.23
379,Teguldet,60,RU,1559778526,61,57.31,88.17,58.73,5.06
380,Ngunguru,2,NZ,1559778527,68,-35.62,174.5,59.0,13.0
381,Amapa,40,HN,1559778528,63,15.09,-87.97,91.4,17.22
382,Labuhan,42,ID,1559778529,78,-2.54,115.51,80.33,1.03
383,Milkovo,96,BG,1559778530,87,41.53,24.68,66.99,3.36
384,Trincomalee,100,LK,1559778531,87,8.58,81.23,77.27,5.39
385,Kon Tum,96,VN,1559778532,90,14.36,108.0,73.85,0.38
386,Makakilo City,75,US,1559778380,62,21.35,-158.09,86.0,11.41
387,Moscow,0,RU,1559778433,67,55.75,37.62,64.99,4.07
388,Gizo,0,IL,1559778536,69,31.8,34.94,81.0,5.82
389,Kandrian,99,PG,1559778537,81,-6.21,149.55,80.15,9.1
390,Coracao de Jesus,0,BR,1559778538,60,-16.69,-44.37,69.8,6.93
391,Son La,53,VN,1559778296,96,21.32,103.9,69.17,1.14
392,Severo-Kurilsk,99,RU,1559778540,98,50.68,156.12,41.27,9.26
393,Port Macquarie,1,AU,1559778541,66,-31.43,152.91,63.0,6.93
394,Shimoda,75,JP,1559778390,83,34.7,138.93,75.0,3.36
395,Cedeno,98,CO,1559778543,99,7.05,-72.16,51.35,0.34
396,The Pas,40,CA,1559778545,42,53.82,-101.24,66.2,3.36
397,Kopargaon,15,IN,1559778546,57,19.89,74.48,80.87,15.55
398,Starkville,40,US,1559778354,74,33.45,-88.82,84.2,3.36
399,Santa Cruz Cabralia,90,BR,1559778366,88,-16.28,-39.02,71.6,4.7
400,Kholmogory,40,RU,1559778549,100,64.23,41.65,42.8,3.67
401,Acajutla,99,SV,1559778550,90,13.59,-89.83,78.01,5.23
402,Sterling,1,US,1559778551,73,39.0,-77.4,80.01,3.36
403,Tual,97,ID,1559778552,81,-5.67,132.75,82.31,21.99
404,Bilibino,82,RU,1559778554,31,68.06,166.44,47.57,7.78
405,Kavaratti,100,IN,1559778555,75,10.57,72.64,84.65,13.6
406,Golden,90,CA,1559778556,34,51.3,-116.96,64.4,3.36
407,Gamba,3,CN,1559778557,57,28.28,88.52,38.57,4.36
408,Aksu,75,KZ,1559778558,87,52.04,76.93,50.0,6.71
409,Caravelas,43,BR,1559778559,72,-17.73,-39.27,74.93,11.23
410,Ouesso,79,CG,1559778560,97,1.61,16.05,71.69,2.26
411,Celestun,61,MX,1559778562,73,20.87,-90.4,87.71,13.2
412,Hastings,10,NZ,1559778563,62,-39.64,176.84,51.53,8.59
413,Azul,100,AR,1559778317,88,-36.78,-59.86,53.69,5.59
414,Mandera,51,ET,1559778565,69,3.94,41.86,77.99,12.35
415,Talara,45,PE,1559778566,90,-4.58,-81.27,68.45,19.19
416,Nisia Floresta,20,BR,1559778567,78,-6.09,-35.21,77.0,6.93
417,Carnot,100,CF,1559778569,98,4.94,15.87,69.71,4.27
418,Faya,0,SA,1559778570,27,18.39,42.45,68.0,4.76
419,Wenling,100,CN,1559778571,81,28.38,121.38,89.01,3.0
420,Awjilah,0,LY,1559778572,36,29.14,21.3,78.17,8.97
421,Hopewell,40,US,1559778573,100,37.3,-77.29,75.2,4.7
422,Torrington,1,US,1559778575,28,42.06,-104.18,82.4,9.17
423,Mayo,90,CA,1559778576,29,63.59,-135.9,62.6,5.82
424,Voghera,0,IT,1559778577,49,44.99,9.01,71.01,3.36
425,Buarcos,20,PT,1559778578,76,40.16,-8.88,55.4,3.36
426,Moindou,0,NC,1559778579,64,-21.69,165.68,73.4,2.24
427,San Jeronimo,0,PE,1559778580,80,-13.65,-73.37,40.55,2.64
428,Olinda,40,EC,1559778582,69,-2.03,-79.75,82.4,13.87
429,Namibe,0,AO,1559778583,66,-15.19,12.15,71.51,6.15
430,Muli,0,IN,1559778584,75,22.62,71.45,83.21,15.75
431,Paisley,75,GB,1559778585,87,55.85,-4.42,53.6,5.82
432,Prainha,73,BR,1559778586,93,-1.8,-53.48,75.83,0.6
433,Ust-Nera,69,RU,1559778587,51,64.57,143.24,48.65,5.08
434,Brae,21,GB,1559778588,87,60.4,-1.35,48.2,2.71
435,Lompoc,1,US,1559778590,72,34.64,-120.46,75.0,12.75
436,Ulladulla,0,AU,1559778591,53,-35.36,150.48,53.01,8.05
437,Saint-Louis,90,CH,1559778592,77,47.59,7.56,64.0,17.22
438,Fortuna,0,ES,1559778593,37,38.18,-1.13,71.01,5.82
439,Birjand,0,IR,1559778594,36,32.86,59.22,62.6,6.93
440,Sena Madureira,30,BR,1559778596,77,-9.07,-68.66,74.57,1.95
441,Assare,32,BR,1559778597,59,-6.87,-39.88,68.45,4.9
442,Qaqortoq,100,GL,1559778598,54,60.72,-46.03,44.6,4.7
443,Balkhash,3,KZ,1559778599,48,46.84,74.98,66.29,10.67
444,Bhinga,0,IN,1559778600,43,27.7,81.93,88.79,9.04
445,Yerbogachen,100,RU,1559778601,76,61.28,108.01,54.59,0.89
446,Tacuarembo,66,UY,1559778602,92,-31.73,-55.98,54.59,9.82
447,Doctor Arroyo,89,MX,1559778350,27,23.67,-100.18,85.73,4.21
448,Sambava,7,MG,1559778605,97,-14.27,50.17,64.13,4.25
449,Emerald,100,AU,1559778606,54,-23.53,148.16,55.99,16.11
450,Teguise,75,ES,1559778607,68,29.06,-13.56,68.0,10.29
451,Arman,100,RU,1559778608,71,59.7,150.17,52.61,4.29
452,Makinsk,12,KZ,1559778609,91,52.63,70.42,41.45,5.99
453,Serebryanyy Bor,99,RU,1559778610,46,56.8,124.8,68.63,1.57
454,Glossa,20,GR,1559778612,88,35.47,23.78,66.99,5.12
455,Mitrofanovka,99,UA,1559778613,89,45.45,34.68,66.65,5.99
456,Flagstaff,20,US,1559778611,22,35.2,-111.65,84.0,5.82
457,Vostok,90,RU,1559778615,79,46.45,135.83,63.77,3.27
458,Batagay-Alyta,1,RU,1559778616,48,67.8,130.41,41.27,5.91
459,Maldonado,0,UY,1559778617,87,-34.91,-54.96,53.6,8.05
460,Merauke,85,ID,1559778618,81,-8.49,140.4,80.87,26.78
461,Cabedelo,20,BR,1559778619,83,-6.97,-34.84,77.0,6.93
462,Yulara,0,AU,1559778621,50,-25.24,130.99,44.6,13.87
463,Russell,0,AR,1559778622,76,-33.01,-68.8,55.4,3.36
464,Azanka,86,RU,1559778623,92,58.04,64.79,47.03,9.31
465,Natal,20,BR,1559778624,78,-5.81,-35.21,77.0,6.93
466,Moree,0,AU,1559778625,71,-29.46,149.84,55.99,5.82
467,Warwick,90,US,1559778627,100,41.7,-71.42,73.0,8.05
468,La Palma,94,CO,1559778629,88,5.36,-74.39,72.77,2.66
469,Mount Pleasant,40,US,1559778539,78,33.16,-94.97,78.01,3.36
470,Am Timan,99,TD,1559778612,47,11.04,20.28,88.43,7.72
471,Pampa,1,US,1559778505,39,35.54,-100.96,84.2,3.36
472,Ballina,100,IE,1559778633,94,54.11,-9.15,46.99,1.99
473,Tateyama,40,JP,1559778635,78,36.66,137.31,78.01,4.7
474,Komsomolskiy,100,RU,1559778636,87,67.55,63.78,29.21,7.02
475,Ejura,80,GH,1559778637,82,7.38,-1.37,76.73,8.75
476,Samarai,99,PG,1559778638,94,-10.62,150.67,76.55,8.23
477,Shaoyang,12,CN,1559778639,82,27.23,111.45,77.45,5.84
478,Ghanzi,0,BW,1559778641,27,-21.7,21.65,60.17,3.98
479,Half Moon Bay,40,US,1559778642,59,37.46,-122.43,77.0,20.8
480,Pyapon,100,MM,1559778643,80,16.29,95.68,83.03,3.42
481,Blackwater,100,GB,1559778644,81,51.33,-0.78,55.99,8.05
482,Inuvik,40,CA,1559778645,31,68.36,-133.71,60.8,10.29
483,Leesburg,1,US,1559778405,73,39.12,-77.56,79.0,4.7
484,Alexandria,90,US,1559778558,88,31.31,-92.44,73.99,6.93
485,Gorele,75,TR,1559778649,88,41.03,39.0,73.4,1.12
486,Kieta,97,PG,1559778650,71,-6.22,155.63,84.65,8.23
487,Seymchan,5,RU,1559778651,51,62.93,152.39,58.55,6.11
488,Grindavik,0,IS,1559778652,75,63.84,-22.43,45.0,20.8
489,Baruun-Urt,100,MN,1559778653,44,46.68,113.28,58.73,13.98
490,Naryan-Mar,100,RU,1559778654,95,67.67,53.09,44.87,2.24
491,Balagon,97,PH,1559778656,86,11.91,125.25,79.61,4.12
492,La Asuncion,95,EC,1559778657,94,-1.64,-78.74,46.49,4.34
493,Sur,0,OM,1559778658,45,22.57,59.53,90.95,11.7
494,Ambulu,59,ID,1559778659,82,-8.35,113.61,77.81,5.99
495,Filingue,55,NE,1559778660,27,14.35,3.32,95.81,1.61
496,Prachuap Khiri Khan,99,TH,1559778661,95,11.81,99.79,73.13,1.3
497,Tuatapere,78,NZ,1559778662,83,-46.13,167.69,41.0,31.52
498,Lexington,40,US,1559778640,69,38.05,-84.5,86.0,6.93
499,Rosetta,0,EG,1559778665,73,31.4,30.42,73.99,9.17
500,Agadez,1,NE,1559778666,48,16.97,7.99,86.0,15.75
501,Palembang,75,ID,1559778667,94,-2.99,104.76,80.6,4.7
502,Port Moresby,40,PG,1559778668,78,-9.47,147.16,82.4,23.04
503,Bozeman,1,US,1559778381,23,45.68,-111.04,81.0,5.82
504,Whyalla,40,AU,1559778670,100,-33.04,137.58,39.2,4.45
505,San Cristobal,75,EC,1559778672,68,-0.39,-78.55,64.4,10.29
506,West Bay,40,GB,1559778673,93,50.71,-2.76,50.0,2.24
507,Pleasant Point,84,NZ,1559778674,55,-44.26,171.13,53.87,9.42
508,Vryburg,6,ZA,1559778675,56,-26.96,24.73,50.09,4.97
509,Havelock,75,US,1559778676,74,34.88,-76.9,78.8,17.22
510,Marsh Harbour,14,BS,1559778677,79,26.54,-77.06,80.87,10.27
511,Peddapuram,73,IN,1559778678,81,17.08,82.14,84.83,2.46
512,Ust-Kuyga,0,RU,1559778680,37,70.0,135.55,49.55,13.11
513,Huangchuan,20,CN,1559778681,82,24.57,102.46,68.0,13.42
514,Nhulunbuy,75,AU,1559778682,64,-12.18,136.78,75.2,18.34
515,Nortelandia,0,BR,1559778683,64,-14.45,-56.8,70.43,2.59
516,Dzilam Gonzalez,33,MX,1559778684,73,21.28,-88.93,86.09,15.97
517,Tyrma,95,RU,1559778685,57,50.04,132.17,67.73,3.22
518,Florida,20,CU,1559778551,66,21.53,-78.23,84.2,13.87
519,Mitsamiouli,2,KM,1559778687,72,-11.38,43.28,80.33,11.1
520,Deputatskiy,0,RU,1559778689,38,69.3,139.9,45.05,9.17
521,Mataram,65,ID,1559778690,97,-5.32,105.06,74.21,0.74
522,Biu,100,NG,1559778691,78,10.61,12.19,78.53,18.63
523,Baiyin,0,CN,1559778692,100,36.55,104.13,48.2,4.47
524,Wajima,75,JP,1559778693,82,37.4,136.9,64.4,5.82
525,Brunico,20,IT,1559778694,46,46.8,11.94,73.4,8.05
526,Minsk,0,BY,1559778422,93,53.9,27.56,60.8,2.24
527,Lufilufi,20,WS,1559778696,62,-13.87,-171.6,89.6,14.99
528,Kirkwood,75,ZA,1559778698,82,-33.4,25.44,55.4,20.8
529,Cururupu,75,BR,1559778699,97,-1.82,-44.87,73.49,1.39
530,Tura,94,IN,1559778700,79,25.52,90.21,77.81,5.46
531,Vilhena,0,BR,1559778701,88,-12.74,-60.15,71.6,5.82
532,Aleksinac,20,RS,1559778702,82,43.54,21.71,64.4,4.68
533,Buala,94,SB,1559778703,79,-8.15,159.59,84.29,11.65
534,San Luis,78,AR,1559778478,60,-33.3,-66.34,59.09,9.4
535,Kango,100,GA,1559778706,97,0.19,10.1,71.51,2.39
536,Berwick,75,US,1559778707,57,41.06,-76.25,77.0,4.38
537,Lazaro Cardenas,75,MX,1559778708,22,28.39,-105.62,89.6,9.17
538,Ranong,40,TH,1559778710,100,9.96,98.62,77.0,3.02
539,Woodstock,90,CA,1559778711,93,43.13,-80.75,69.8,3.36
540,Nizhnevartovsk,0,RU,1559778629,62,60.93,76.58,59.0,8.95
541,Nokha,0,IN,1559778713,19,27.56,73.47,93.47,7.45
542,Balao,75,EC,1559778714,74,-2.91,-79.82,81.0,4.7
